CommentFileRelation/\org.eclipse.jdt.core.manipulation/common/org/eclipse/jdt/core/manipulation/OrganizeImportsOperation.java/\Roland Grunberg/\Roland Grunberg/\163380/\5a5050b6f69c085329ea45c086e3d1af7de38ac5
CommentFileRelation/\org.eclipse.jdt.ui.tests/ui/org/eclipse/jdt/internal/corext/refactoring/typeconstraints/types/TypeTest.java/\Carsten Hammer/\Simeon Andreev/\164197/\4ab1b51b2cfba9e62c7f0cc0c80680d9049dd784
CommentFileRelation/\org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/refactoring/typeconstraints/types/TypeTuple.java/\Carsten Hammer/\Andrey Loskutov/\164197/\c663f5a31d196f15eb28b725ab6c5311e191b492
CommentFileRelation/\org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/dom/ASTNodes.java/\Fabrice Tiercelin/\Carsten Hammer/\160849/\9f7f2042091e1c789d0dd548747ec1f60fbe3051
CommentFileRelation/\org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/dom/ASTNodes.java/\Fabrice Tiercelin/\Fabrice Tiercelin/\160849/\9f7f2042091e1c789d0dd548747ec1f60fbe3051
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Carsten Hammer/\160849/\9f7f2042091e1c789d0dd548747ec1f60fbe3051
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Fabrice Tiercelin/\160849/\9f7f2042091e1c789d0dd548747ec1f60fbe3051
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Carsten Hammer/\160849/\9f7f2042091e1c789d0dd548747ec1f60fbe3051
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Carsten Hammer/\160849/\2b69b6f354b6b61236474f082d6fd11961ffd0c0
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Carsten Hammer/\160849/\2b69b6f354b6b61236474f082d6fd11961ffd0c0
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Fabrice Tiercelin/\160849/\2b69b6f354b6b61236474f082d6fd11961ffd0c0
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Fabrice Tiercelin/\160849/\2b69b6f354b6b61236474f082d6fd11961ffd0c0
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Fabrice Tiercelin/\160849/\2b69b6f354b6b61236474f082d6fd11961ffd0c0
CommentFileRelation/\org.eclipse.jdt.core.manipulation/core extension/org/eclipse/jdt/internal/corext/dom/ASTNodes.java/\Fabrice Tiercelin/\Fabrice Tiercelin/\160849/\9c4a82d6120f5cf20636a14b767af461d770e96b
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Carsten Hammer/\160849/\cd39b740d669672aee5af52a19a3b14eda39fdc8
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Carsten Hammer/\160849/\e506b2fe4f0bbf43f85e87da31287dd8d65f5314
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Fabrice Tiercelin/\160849/\e506b2fe4f0bbf43f85e87da31287dd8d65f5314
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/fix/ObjectsEqualsCleanUp.java/\Fabrice Tiercelin/\Carsten Hammer/\160849/\e506b2fe4f0bbf43f85e87da31287dd8d65f5314
CommentFileRelation/\org.eclipse.jdt.junit.core/src/org/eclipse/jdt/internal/junit/buildpath/BuildPathSupport.java/\Carsten Hammer/\Sebastian Zarnekow/\164336/\f080f7ca76417ab01e50ebe64e7b21b2eaaf7e0d
CommentFileRelation/\org.eclipse.jdt.junit.core/src/org/eclipse/jdt/internal/junit/buildpath/BuildPathSupport.java/\Carsten Hammer/\Carsten Hammer/\164336/\f080f7ca76417ab01e50ebe64e7b21b2eaaf7e0d
CommentFileRelation/\org.eclipse.jdt.junit.core/src/org/eclipse/jdt/internal/junit/buildpath/BuildPathSupport.java/\Carsten Hammer/\Sebastian Zarnekow/\164336/\f080f7ca76417ab01e50ebe64e7b21b2eaaf7e0d
