msg305/\Tom Christiansen/\ August 31, 1999 17:16
msg56206/\Michael G Schwern/\ April  4, 2002 21:05
msg56207/\Ken Williams/\ April  4, 2002 23:26
msg56240/\Michael G Schwern/\ April  5, 2002 07:57
msg310/\Ilya Zakharevich/\ August 31, 1999 17:42
msg309/\Gurusamy Sarathy/\ August 31, 1999 17:31
msg303/\Rob Cunningham/\ August 31, 1999 16:27
msg311/\Dan Sugalski/\ August 31, 1999 18:20
msg302/\Hans Mulder/\ August 31, 1999 15:47
msg78907/\Autrijus Tang/\ July 29, 2003 00:04
msg19134/\Peter Prymmer/\ October  9, 2000 17:32
msg19147/\Philip Newton/\ October 10, 2000 05:14
msg19174/\Peter Prymmer/\ October 10, 2000 10:24
msg297/\Tod Irwin/\ August 31, 1999 13:27
msg2133/\M.J.T. Guy/\ October 11, 1999 10:59
msg2138/\Gurusamy Sarathy/\ October 11, 1999 11:41
msg2137/\Brent B. Powers/\ October 11, 1999 11:30
msg2149/\Nick Ing-Simmons/\ October 11, 1999 13:04
msg2150/\Brent B. Powers/\ October 11, 1999 13:12
msg2152/\Nick Ing-Simmons/\ October 11, 1999 13:57
msg2157/\Brent B. Powers/\ October 11, 1999 15:03
msg2129/\M.J.T. Guy/\ October 11, 1999 09:46
msg2131/\Gurusamy Sarathy/\ October 11, 1999 09:59
msg2136/\Nick Ing-Simmons/\ October 11, 1999 11:29
msg2141/\Gurusamy Sarathy/\ October 11, 1999 12:00
msg2166/\Hugo/\ October 11, 1999 16:34
msg2140/\Gurusamy Sarathy/\ October 11, 1999 11:57
msg2090/\Gurusamy Sarathy/\ October  9, 1999 19:41
msg2261/\Adam Krolnik/\ October 13, 1999 11:54
msg296/\David Harris/\ August 31, 1999 13:13
msg276/\M.J.T. Guy/\ August 31, 1999 07:26
msg47817/\mikael gudmundsson/\ November 28, 2001 02:01
msg284/\Barrie Slaymaker/\ August 31, 1999 08:24
msg275/\JVromans/\ August 31, 1999 07:08
msg400/\Turoff, Adam/\ September  2, 1999 16:49
msg421/\JVromans/\ September  3, 1999 05:25
